Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Hiring Hospitality Teachers For Ministry of Education Maldives,Global Placements,Maldives,1-6 Yrs,"['Hospitality', 'Hospitality Management', 'education', 'Hotel Management', 'Hotel', 'Teaching', 'Management', 'Hiring']"
Hiring Secondary Teachers For Ministry of Education Maldives,Global Placements,Maldives,1-6 Yrs,"['Teaching Mathematics', 'Teaching English', 'Teaching Biology', 'Science Teaching', 'Science', 'Mathematics', 'PGT', 'Teaching']"
Academic Counsellor: Overseas Education,Getwork,"Greater Noida, Uttar Pradesh",1-6 Yrs,"['Counselling', 'Admission Counselling', 'Student Counseling', 'Canada', 'Usa', 'Uk', 'study abroad', 'Enrollment']"
Female Education Counsellor- sales- Remote,International School Of Skill Development,Remote,2-4 Yrs,"['effective counselling', 'guidance', 'support service to potential students', 'Counselling', 'Education', 'Remote', 'Sales']"
Education Counsellor - Inhouse Sales,Excel Hr Solutions,"Ahmedabad, Surat, Gujarat, Vadodara, Gujarat",1-5 Yrs,"['Inside Sales', 'Business Development', 'Education Counseling', 'Admission Counselling', 'Student Counseling', 'Educational Sales', 'Sales', 'Lead Generation']"
Education Counsellor - Inhouse Sales,Excel Hr Solutions,"Pune, Mumbai (All Areas)",1-5 Yrs,"['Inside Sales', 'Business Development', 'Education Counseling', 'Admission Counselling', 'Student Counseling', 'Educational Sales', 'Sales', 'Lead Generation']"
Education Counselor / Business Development - Freshers,Education / Training,Pune,0-2 Yrs,"['Business Development', 'upselling', 'Telesales', 'Counselor', 'Academic counsellor', 'Digital Education', 'training institute', 'Inside sales']"
OVERSEAS EDUCATION COUNSELOR,Excellent Care Business Solutions,Ernakulam,0-3 Yrs,"['Career counselling', 'Online marketing', 'Social media', 'Relationship', 'Budgeting', 'Overseas education', 'Visa processing', 'Education Counsellor']"
Education Counselor,Mycitynagpur,Nagpur,0-4 Yrs,"['Administration', 'Education Counsellor', 'Education counseling', 'Counselling', 'Education']"
Education Counselor,Enlightening Career Sources,New Delhi,0-5 Yrs,"['Education Counsellor', 'Education', 'Counselling', 'Education counseling']"
Overseas Education Counselor,Techasoft,Bengaluru,0-10 Yrs,"['MIS reporting', 'Interpersonal skills', 'Client servicing', 'query', 'Consultancy', 'Education Counsellor', 'Subject Matter Expert', 'Overseas education']"
Education Counselor,BOSSE,"Noida, Uttar Pradesh",1-5 Yrs,"['Counselor', 'Education Counsellor', 'Admission Counselling', 'Student Counseling', 'Educational Sales', 'Academic counselor', 'telecalling', 'Education']"
